st_gene_id	diffexp_log2fc_WT_48H-vs-MYC2_48H	diffexp_deseq2_pvalue_WT_48H-vs-MYC2_48H
TraesCS7D02G186600	0.316734775	0.664206716
TraesCS5A02G024000	2.798960064	0.229433805
TraesCS6B02G210600	NA	NA
TraesCS4B02G269500	0.117344331	0.37838308
TraesCS7B02G274900	NA	NA
TraesCS1A02G373100	0.332123837	0.464272847
TraesCS3D02G308400	-0.153029965	0.054866407
TraesCS5A02G095000	0.070425035	0.619639832
TraesCS3A02G369800	0.806805721	0.001006168
TraesCS2D02G107100	0.081276295	0.673037777
TraesCS3D02G440500	0.005321604	0.960326497
TraesCS2A02G154300	0.197803467	0.574988901
TraesCS5D02G385125	0.455436666	0.032162834
TraesCS2B02G132900	0.125951252	0.110090931
TraesCS3A02G312300	-0.07897745	0.548573956
TraesCS7A02G365600	0.139129438	0.357577148
TraesCS6A02G148900	-1.338240535	0.166458589
TraesCS2B02G207400	0.034140996	0.74645744
TraesCS3B02G252000	0.394266569	0.029039499
TraesCS2D02G170300	0.066430627	0.890044514
TraesCSU02G209400	-0.194851186	0.761356559
TraesCS5D02G056000	0.136052639	0.081482458
TraesCS4A02G103400	0.424062645	0.658199387
TraesCS3A02G220300	-0.027429706	0.868849113
TraesCS1A02G244400	0.305840906	0.788736638
TraesCS5B02G230400	0.026004091	0.921578893
TraesCS5D02G208600	0.051535814	0.648929554
TraesCS3B02G204000	-0.910964335	0.487054761
TraesCS1B02G399300	3.426045036	0.032725278
TraesCS7A02G466000	-1.454257677	0.052432681
TraesCS2A02G111900	-0.278843483	0.170459331
TraesCS1D02G010500	0.150676119	0.416019614
TraesCS7D02G502700	-0.326808045	0.178455886
TraesCS6B02G252800	0.472857572	1.38E-06
TraesCS2D02G297600	0.040322143	0.90944783
TraesCS6D02G407700	0.90572423	0.824340734
TraesCSU02G078100	-0.048271196	0.791204917
TraesCS2D02G344300	-0.162378202	0.612829291
TraesCS7A02G389500	-0.325932413	0.69936187
TraesCS7B02G401700	0.132532887	0.915367549
TraesCS5D02G397000	-0.071266304	0.622783986
TraesCS6D02G135500	-0.077540678	0.498344785
TraesCS2D02G454700	2.390639941	0.421136835
TraesCS7A02G373100	1.176465524	0.45910701
TraesCS5A02G141200	0.906238661	0.144528888
TraesCS5D02G529000	1.429432229	0.549066042
TraesCS1D02G271500	0.022124371	0.764726869
TraesCS7B02G316300	0.193979833	0.011509428
TraesCS3A02G186600	-0.107737412	0.448627937
TraesCS5B02G032400	-0.048288822	0.983937307
TraesCS3B02G228000	0.154154682	0.236147162
TraesCS1D02G081400	0.184049771	0.024455237
TraesCS7D02G084300	1.230380097	0.155015533
TraesCS5A02G268300	0.219703208	0.246939959
TraesCS7A02G546800	NA	NA
TraesCS5B02G289300	NA	NA
TraesCS3A02G285900	0.345446892	4.02E-05
TraesCS5A02G316600	-0.010650137	0.971874598
TraesCS2D02G446800	0.38705258	0.571910359
TraesCS6D02G291400	0.515892341	0.016301681
TraesCS6B02G143900	-1.901832202	0.580698398
TraesCS5A02G100300	0.220009387	0.113150892
TraesCS2D02G186200	NA	NA
TraesCS3A02G428000	0.139958878	0.089746738
TraesCS1A02G379100	0.993877266	0.050282645
TraesCS1A02G396700	-2.195034118	0.025676361
TraesCS1D02G336000	-0.080207142	0.844398105
TraesCS1D02G158000	-0.959300577	0.715567711
TraesCS1A02G269000	0.134008961	0.64762481
TraesCS4A02G413900	0.079379543	0.594116894
TraesCS4B02G262900	-0.267481783	0.327911388
TraesCS5A02G091800	0.013771902	0.898334656
TraesCS3A02G281800	0.003353044	0.981136843
TraesCS3B02G300800	-0.158573704	0.077121995
TraesCS3B02G450500	0.14965106	0.349267067
TraesCS1A02G013200	-1.017829122	0.803021211
TraesCS1B02G272200	0.259178804	0.020740615
TraesCS2D02G551400	-0.03899523	0.724714691
TraesCS6D02G364600	1.13118912	0.036377647
TraesCS7D02G465900	1.311418509	0.000338162
TraesCS4A02G104300	0.684023635	0.005474565
TraesCS4A02G078700	-1.017829122	0.803021211
TraesCSU02G105200	NA	NA
TraesCS7D02G050800	-0.09926402	0.338678753
TraesCS5A02G078100	0.205786895	0.795704145
TraesCS1D02G201200	0.20705946	0.533569002
TraesCS1B02G443700	-0.135674327	0.173764329
TraesCS6A02G282900	-0.056044324	0.986224416
TraesCSU02G012500	0.072347484	0.828594957
TraesCS3A02G065500	-0.278056339	0.423942121
TraesCS5D02G149400	-0.073142474	0.69406015
TraesCS5A02G031600	-0.05604432	0.986220765
TraesCS4B02G015500	0.137359378	0.245697946
TraesCS7B02G239700	0.050272005	0.624337486
TraesCS2A02G260200	0.90572423	0.824340734
TraesCS7D02G322100	0.152253589	0.048553806
TraesCS7D02G068700	0.050425458	0.82840487
TraesCS2B02G319700	1.04353647	0.144276549
TraesCS3B02G233200	-0.135221495	0.296196333
TraesCS5A02G469800	0.371771976	2.01E-10
TraesCS7B02G376100	NA	NA
TraesCS7D02G019700	0.014879058	0.966817748
TraesCS6A02G250900	NA	NA
TraesCS4D02G079700	-0.056141093	0.897233693
TraesCS1A02G180000	-0.029738171	0.923687728
TraesCS5B02G270200	-0.060982119	0.466458263
TraesCS2D02G394800	0.310615941	0.033359818
TraesCSU02G117600	0.177594434	0.10092608
TraesCS2D02G287100	0.357708217	0.843330129
TraesCS2B02G078200	0.063104016	0.49627309
TraesCS1A02G422900	-0.167672401	0.051002601
TraesCS4B02G029100	-0.013231237	0.982137751
TraesCS4A02G163000	-0.150083457	0.015017899
TraesCS3D02G437700	0.947679062	0.631210025
TraesCS3D02G453200	-0.056044313	0.98621341
TraesCS2D02G054900	-0.28679342	0.614754537
TraesCS7B02G276000	2.098710412	9.65E-06
TraesCS1A02G205000	-0.643741221	0.29155435
TraesCS2B02G377600	-0.05604432	0.986220765
TraesCS2D02G479100	0.506562483	7.07E-05
TraesCS4A02G358700	-0.060024953	0.77299722
TraesCS3A02G248000	-0.135241631	0.086860178
TraesCS5B02G121600	-0.110070982	0.345354863
TraesCS4D02G262300	-0.053065867	0.909806987
TraesCS4B02G285400	NA	NA
TraesCS4D02G053500	-0.939727342	0.722242096
TraesCS3D02G509200	-0.00065205	0.997537517
TraesCS2D02G431800	0.838239367	0.751992771
TraesCS4A02G298400	0.544130304	0.411717046
TraesCS1D02G261100	-2.51213506	0.352597668
TraesCSU02G094000	-2.93104813	0.230459712
TraesCS3D02G237000	0.17292865	0.054871469
TraesCS1B02G182000	0.482518292	3.00E-07
TraesCS7D02G462200	0.377727668	0.844243975
TraesCS7B02G005800	0.020699962	0.856308566
TraesCS2A02G401600	0.220491651	0.875552394
TraesCS7D02G098900	-0.194691205	0.439930249
TraesCS2B02G223400	0.073375037	0.784485798
TraesCS3A02G025600	0.241588285	0.700342189
TraesCS6D02G404600	-0.092986814	0.842232882
TraesCS1D02G254200	0.90572423	0.824340734
TraesCS3B02G367600	0.262711152	0.008479686
TraesCS2A02G196000	-0.182691907	0.353427044
TraesCS7B02G196700	0.040805432	0.720801549
TraesCS6D02G168400	-0.102447878	0.303763169
TraesCS6B02G250400	0.90572423	0.824340734
TraesCS5B02G016100	-0.135342859	0.170538736
TraesCS6D02G060400	0.416252739	0.071531104
TraesCS2D02G590700	NA	NA
TraesCS2D02G367000	NA	NA
TraesCS4A02G146300	-0.106368693	0.42061899
TraesCS4A02G067100	-0.065586168	0.972636161
TraesCS3D02G025300	0.328694105	0.004079281
TraesCS3D02G190100	-0.127062148	0.410649347
TraesCS4D02G015600	0.759082488	0.001571449
TraesCS5A02G099700	0.94489486	0.205698901
TraesCS2A02G339100	-0.755277129	0.002221588
TraesCS4A02G181900	0.916117134	2.50E-06
TraesCS7B02G433900	-0.03070315	0.718019784
TraesCS5D02G376800	0.096557022	0.929257816
TraesCS5D02G336300	0.258266708	0.000217948
TraesCS5D02G398400	-0.011035096	0.913492846
TraesCS1D02G287100	-1.017829122	0.803021211
TraesCS3B02G498700	NA	NA
TraesCS2D02G314600	0.002445595	0.982966358
TraesCS5A02G156900	-0.300830423	0.103330522
TraesCS4A02G154100	1.053913128	0.17093688
TraesCS6A02G337700	-0.451360691	0.357999826
TraesCS4A02G131600	0.065512829	0.62680811
TraesCS1B02G300100	-0.377815967	0.053707123
TraesCS6A02G002500	-0.146039064	0.416241645
TraesCS5B02G223600	0.192955383	0.619083334
TraesCS6A02G078600	0.033730306	0.84460962
TraesCS6A02G101700	-0.061252882	0.677858448
TraesCS5D02G062200	-0.13900354	0.277319556
TraesCS7D02G372300	0.270380699	0.111441025
TraesCS4A02G272500	0.104531383	0.344807058
TraesCS3A02G014700	0.260326052	0.305138779
TraesCS3B02G523600	0.952291106	0.450013321
TraesCS4A02G171500	-0.415746979	0.022981232
TraesCS5D02G001900	-0.077769539	0.196111762
TraesCS7A02G457900	1.093221767	0.453143698
TraesCS4B02G215700	1.7997771	0.57561517
TraesCS7A02G303500	-0.054984589	0.65745815
TraesCS3D02G135700	-0.205720132	0.403873187
TraesCS6B02G179100	-0.062659812	0.765463322
TraesCS3D02G101600	0.231857844	0.484380195
TraesCS6A02G228800	NA	NA
TraesCS6A02G196100	-0.085192306	0.313118091
TraesCS5B02G197400	-0.480288272	0.80077212
TraesCS6D02G362600	-0.127322671	0.204646799
TraesCS1B02G261500	-0.160518915	0.182943744
TraesCS2B02G185500	0.90572423	0.824340734
TraesCS6B02G327500	0.042904444	0.559765194
TraesCS7B02G236800	0.951613788	0.626351486
TraesCS6B02G011000	-1.901832202	0.580698398
TraesCS5D02G201500	NA	NA
TraesCS7A02G347300	0.261033549	0.471082462
TraesCS7A02G225900	-0.015899986	0.917204402
TraesCS7B02G455000	-0.093120904	0.343176459
TraesCS4D02G118800	-0.260121518	0.017063247
TraesCS2B02G045200	-0.16469242	0.358660315
TraesCS3D02G358600	NA	NA
TraesCS4D02G110200	-0.256139366	0.001284303
TraesCS7D02G221200	NA	NA
TraesCS5D02G202200	0.127433849	0.407581047
TraesCS7D02G327500	0.673181909	0.682651515
TraesCS6A02G119200	-1.938833272	0.376921129
TraesCS1B02G363200	0.90572423	0.824340734
TraesCS1D02G144100	1.272723867	0.494400995
TraesCS7B02G104200	0.532942147	0.03238817
TraesCS4B02G051400	0.90572423	0.824340734
TraesCS3D02G293200	-1.017829122	0.803021211
TraesCS1B02G331800	-0.712301591	0.284149472
TraesCS7D02G235100	-0.516489131	0.000843864
TraesCS1D02G051300	-0.042090716	0.775096878
TraesCS3D02G095200	-0.139226102	0.180823963
TraesCS5B02G372700	NA	NA
TraesCS5D02G453000	1.797985593	0.576212367
TraesCS4D02G259200	-0.334168217	0.129145612
TraesCS5A02G537300	-0.533377766	0.45323391
TraesCS3D02G543900	0.18200819	0.308824161
TraesCS7D02G150700	-1.376013321	0.463875334
TraesCS1D02G278700	0.116311702	0.814015177
TraesCS5A02G108900	-1.017829122	0.803021211
TraesCS7D02G293600	0.054922582	0.584018805
TraesCS6B02G343200	0.529634489	0.602661301
TraesCS6A02G233300	-0.053787038	0.868174175
TraesCS5D02G404900	0.7639366	0.442670889
TraesCS4B02G154500	-0.975603063	2.28E-05
TraesCS4B02G225100	-2.497115408	0.357546845
TraesCS2D02G553400	-0.072870928	0.76987901
TraesCS3A02G388200	-0.191128731	0.064345517
TraesCS2A02G303500	-0.018703636	0.807565997
TraesCS5A02G033100	1.797985593	0.576212367
TraesCS2D02G003500	0.512908645	0.359115562
TraesCS5A02G483500	-0.440608293	0.288315288
TraesCS3B02G109000	-0.097884417	0.606559235
TraesCS5A02G029500	-0.260106411	0.446763447
TraesCS3D02G056500	-0.030627582	0.731931084
TraesCS3D02G430700	-0.334652689	0.303023079
TraesCS5A02G552600	-1.017829122	0.803021211
TraesCS7D02G477600	-0.086751263	0.753642826
TraesCS6A02G056400	NA	NA
TraesCS2B02G565200	-0.059399764	0.892737202
TraesCS6B02G378000	NA	NA
TraesCS2A02G172300	-0.401767473	0.488667602
TraesCS1D02G218900	0.438416508	0.391102218
TraesCS7D02G052000	-0.636291316	0.523111147
TraesCS3B02G420600	0.430163902	0.152676597
TraesCS7D02G047700	NA	NA
TraesCSU02G016200	-0.147069782	0.52574364
TraesCS7B02G465500	-0.101548105	0.63364045
TraesCS2D02G199700	-0.041125735	0.754802731
TraesCS3D02G372200	0.004678512	0.979792372
TraesCS2A02G172100	-0.181609994	0.083682718
TraesCS5D02G321900	-0.292309918	7.89E-05
TraesCS4D02G205100	NA	NA
TraesCS4B02G021300	0.181907713	0.118741864
TraesCS4D02G116700	-1.134543993	0.307198176
TraesCS3D02G424700	NA	NA
TraesCS7A02G142000	0.816264306	0.312739695
TraesCS5B02G461000	0.167759275	0.603002632
TraesCS6B02G298800	-0.224285281	0.005108766
TraesCS5B02G104500	0.116156738	0.214245804
TraesCS4A02G036200	-0.106165799	0.665738231
TraesCS6D02G307100	-0.019486128	0.941000121
TraesCS3D02G278700	0.170277866	0.299663564
TraesCS2A02G550900	-0.18617935	0.030776782
TraesCS7B02G009400	0.329211487	0.554016706
TraesCS2A02G523200	-0.027138554	0.905629333
TraesCS6A02G122000	0.076874933	0.743421541
TraesCS7B02G434400	-0.022722665	0.917653176
TraesCS6B02G277000	-0.277839724	0.107655755
TraesCS1D02G176000	-0.138783544	0.375649607
TraesCS4B02G004800	-0.101055886	0.815075086
TraesCS2B02G362900	0.070237874	0.659453526
TraesCS5B02G552800	-1.017829122	0.803021211
TraesCS7D02G085000	NA	NA
TraesCS4D02G006600	-0.02310513	0.960049065
TraesCS4D02G073200	-0.362330682	0.000485088
TraesCS6B02G252200	-0.063051356	0.781929579
TraesCS6B02G332300	0.056237157	0.47142337
TraesCS5D02G377800	3.027374886	0.031616515
TraesCS5D02G252500	NA	NA
TraesCS5B02G403900	-0.072617345	0.752457165
TraesCS3A02G267700	-0.053711335	0.662943521
TraesCS1B02G122100	0.06114424	0.818648048
TraesCS4B02G161100	0.568720184	0.356058112
TraesCS4A02G092600	-1.017829122	0.803021211
TraesCS2D02G373700	-1.637677569	0.367027457
TraesCS2A02G127400	NA	NA
TraesCS2D02G334700	1.07490669	0.3849579
TraesCS1B02G185200	0.90572423	0.824340734
TraesCS5A02G466500	0.90572423	0.824340734
TraesCS1B02G327000	-0.05604432	0.986220765
TraesCS4D02G154500	-0.386486743	0.001216751
TraesCS2A02G104400	-0.202261839	0.484572853
TraesCS3B02G067800	-0.299498204	0.429291676
TraesCS5D02G221100	-0.056877942	0.967687761
TraesCS1B02G269500	-0.331824883	0.016346328
TraesCS2B02G208400	-0.139813799	0.364405005
TraesCS5D02G443600	-0.437710649	0.083187603
TraesCS7D02G346000	-0.198566939	0.071253958
TraesCS3D02G281600	-0.087196727	0.859867437
TraesCS4D02G291900	-0.006625446	0.94610025
TraesCS3B02G441900	NA	NA
TraesCS7B02G251400	-0.013096667	0.882604172
TraesCS4D02G333100	0.66616281	0.335418139
TraesCS6B02G004400	-0.091109296	0.138023237
TraesCS3A02G285000	-0.590292656	0.554015259
TraesCS5B02G559300	-0.020534785	0.841009269
TraesCS5D02G006900	-0.328575657	0.326967856
TraesCS6A02G410800	0.5915856	0.565692026
TraesCS3B02G389300	0.008246185	0.970993488
TraesCS4A02G059200	-0.1044547	0.776798322
TraesCS3D02G032500	-1.072175997	0.584114647
TraesCS6B02G202600	-0.339900942	0.543813906
TraesCS6A02G034500	0.045327744	0.96357535
TraesCS5B02G310300	-1.017829122	0.803021211
